M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],M41[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485]
0.14953,0.106843,0.102446,0.0890723,0.104154,0.127908,0.0968691,0.0779181,0.0916045,0.0844599,0.0724089,0.0663998,0.0879925,0.100357,0.0776094,0.0734532,0.10962,0.089725,0.159639,0.132637,0.119468,0.115139,0.115323,0.106683,0.0991871,0.10191,0.0990543,0.114689,0.126679,0.146114,0.109695,0.134431,0.11176,0.11837,0.109153,0.100852
0.148692,0.110676,0.1083,0.0954518,0.10932,0.130308,0.0996158,0.0825833,0.0928132,0.0882116,0.0760704,0.0702612,0.088626,0.094929,0.0781569,0.0741682,0.109184,0.0955753,0.164191,0.139397,0.126499,0.128055,0.125872,0.115395,0.109149,0.108283,0.114429,0.122883,0.134645,0.154382,0.119351,0.139521,0.123646,0.127798,0.111033,0.104344
0.14738,0.116443,0.101503,0.0894772,0.10531,0.128382,0.09695,0.0770662,0.0955963,0.0808136,0.0755693,0.0642423,0.0894084,0.0974424,0.0707621,0.0716688,0.104168,0.0927931,0.167535,0.149016,0.127775,0.131853,0.132992,0.119901,0.111753,0.116232,0.116741,0.128468,0.139824,0.155069,0.122387,0.1426,0.125496,0.127817,0.120968,0.117435
0.152712,0.118095,0.110537,0.0959367,0.110864,0.135937,0.103917,0.0828788,0.0999213,0.0876841,0.0777488,0.0699979,0.0927564,0.100522,0.0742695,0.0761789,0.109871,0.0923036,0.171491,0.14631,0.131123,0.12818,0.134046,0.120116,0.113785,0.117367,0.115849,0.130101,0.13695,0.158629,0.125903,0.141278,0.126972,0.130905,0.124553,0.115017
0.152613,0.115826,0.108349,0.0982594,0.112209,0.137063,0.102865,0.081374,0.100088,0.0885539,0.0775599,0.0683838,0.0963469,0.101496,0.0781068,0.0760476,0.111331,0.095319,0.168243,0.14198,0.129078,0.13082,0.132655,0.117462,0.114534,0.116634,0.114452,0.132189,0.138765,0.156827,0.124533,0.14343,0.127242,0.132642,0.118746,0.116509
0.159789,0.118649,0.110944,0.0957381,0.109028,0.136604,0.102829,0.0815746,0.0970857,0.0913523,0.0790752,0.0731958,0.0906613,0.0978131,0.0760977,0.0792767,0.112995,0.0970295,0.171031,0.146242,0.132326,0.132823,0.131716,0.123653,0.113282,0.11273,0.117193,0.127881,0.140229,0.156631,0.124105,0.142476,0.12685,0.126898,0.122419,0.116717
0.158633,0.11869,0.110536,0.0970181,0.109895,0.138281,0.102678,0.0801685,0.09959,0.0886504,0.0802485,0.0683585,0.0925786,0.100444,0.0761814,0.0742586,0.109113,0.0963523,0.176445,0.149202,0.130869,0.133823,0.134795,0.12081,0.114955,0.117873,0.117518,0.130279,0.14145,0.158646,0.125405,0.147322,0.125181,0.13283,0.121462,0.113805
0.162635,0.118608,0.109441,0.0956376,0.110981,0.135438,0.102218,0.0797414,0.0952402,0.0892241,0.0766001,0.0695747,0.0902656,0.0994496,0.0740762,0.0735232,0.107639,0.0938663,0.186758,0.153908,0.135934,0.137939,0.135481,0.126228,0.118836,0.119483,0.119128,0.136531,0.146529,0.16418,0.12932,0.14905,0.132028,0.136087,0.126306,0.119504
0.172048,0.123958,0.114994,0.101085,0.115542,0.140073,0.105654,0.0839066,0.100855,0.0916171,0.0798404,0.0715046,0.0938697,0.101081,0.0768229,0.0758458,0.110068,0.0948264,0.197319,0.161776,0.141565,0.143378,0.14362,0.131744,0.125585,0.127041,0.126842,0.140817,0.151731,0.169858,0.136107,0.155158,0.136362,0.141578,0.131674,0.124114
0.175193,0.126724,0.11623,0.104013,0.117008,0.140995,0.106847,0.0848502,0.100904,0.0928066,0.0812479,0.0718343,0.0942951,0.101705,0.0782392,0.0760859,0.110484,0.0957538,0.202674,0.16371,0.144661,0.145931,0.145902,0.134454,0.127583,0.128601,0.129172,0.142948,0.154386,0.171703,0.138896,0.157504,0.13909,0.144734,0.134792,0.126929
0.17494,0.125627,0.1162,0.102579,0.116491,0.140705,0.106677,0.084163,0.101233,0.0918039,0.0809782,0.0713752,0.0938923,0.100817,0.0779954,0.0752325,0.109654,0.0949163,0.202118,0.162944,0.144237,0.145387,0.145568,0.134376,0.126819,0.128699,0.129318,0.142687,0.153794,0.172229,0.13843,0.157698,0.13959,0.144237,0.134333,0.126654
0.175286,0.125139,0.114523,0.101028,0.115551,0.139559,0.10576,0.0831351,0.0998685,0.0915017,0.079925,0.07109,0.0924262,0.100161,0.0765265,0.0746505,0.108497,0.0939363,0.203327,0.163267,0.144186,0.144634,0.145322,0.13403,0.126292,0.127735,0.128286,0.141402,0.153621,0.170317,0.137484,0.156245,0.138374,0.143178,0.132586,0.125456
0.184027,0.118712,0.107356,0.0937355,0.105515,0.133266,0.101133,0.0737738,0.095701,0.0857116,0.0729984,0.0652734,0.0864617,0.0953793,0.0718908,0.0693064,0.101761,0.0897737,0.215501,0.160173,0.137408,0.138236,0.136429,0.123886,0.118938,0.120423,0.117175,0.134179,0.144314,0.161855,0.128325,0.147102,0.128879,0.135592,0.123106,0.115123
0.187885,0.117139,0.101815,0.0882829,0.0999447,0.128884,0.0947258,0.0701282,0.0892815,0.0804391,0.068843,0.0629097,0.0822164,0.0892092,0.0690536,0.0668261,0.0991417,0.0855402,0.225454,0.162552,0.138129,0.134305,0.137198,0.123888,0.118887,0.119357,0.118909,0.131686,0.144104,0.162592,0.126696,0.144779,0.125585,0.131075,0.121263,0.113078
0.188122,0.1094,0.0927045,0.0843586,0.0981351,0.12304,0.0927281,0.0673148,0.086463,0.0771604,0.0676754,0.0566961,0.0763875,0.0864387,0.0640438,0.0607174,0.092043,0.0826499,0.230594,0.160192,0.129853,0.13202,0.129353,0.120591,0.116646,0.115348,0.115973,0.125916,0.139711,0.15643,0.118103,0.139704,0.123613,0.128139,0.120627,0.11327
0.184569,0.103366,0.0883562,0.0753866,0.089083,0.116569,0.0834507,0.0625466,0.0808337,0.073884,0.063394,0.0499061,0.0713412,0.0815614,0.0568136,0.0594681,0.0917838,0.0772765,0.223306,0.152546,0.128712,0.127184,0.132349,0.115269,0.110958,0.108558,0.111196,0.126035,0.136708,0.148884,0.115698,0.134144,0.118525,0.121639,0.111302,0.106207
0.179227,0.100464,0.0922765,0.0715794,0.0931046,0.114347,0.0868267,0.0645851,0.0829251,0.0691811,0.0629215,0.0586116,0.0776764,0.0855471,0.0620772,0.0558664,0.0966357,0.0729613,0.203077,0.140441,0.119269,0.119668,0.121065,0.104913,0.104668,0.103082,0.101483,0.120992,0.126019,0.142265,0.105104,0.125095,0.109819,0.117638,0.103308,0.0929004
